Target,Distance,Belarusian_(n=27),Greek_Crete_Lasithi_(n=7),Greek_Dodecanese_Rhodes_(n=15),Italian_Sicily_Central_(Sicilian)_(n=2),Italki_Jew_(n=9),Maltese_(n=8),Swedish_(n=114)
Ashkenazi_Jew_(n=1209),0.00948576,9.4,0.4,18.6,3.0,58.2,5.8,4.6
Average,0.00948576,9.4,0.4,18.6,3.0,58.2,5.8,4.6
