Target,Distance,Greek_Crete_(n=10),Greek_Crete_Lasithi_(n=7),Italian_Friuli_(Friulian)_(n=18),Italian_Sicily_Central_(Sicilian)_(n=2),Italian_Sicily_Trapani_(Sicilian)_(n=7),Maltese_(n=8)
Ashkenazi_Jew_(n=1209),0.01293736,6.0,24.4,0.4,12.8,29.0,27.4
Average,0.01293736,6.0,24.4,0.4,12.8,29.0,27.4
