Target,Distance,Belarusian_(n=27),Greek_Crete_Lasithi_(n=7),Greek_Dodecanese_Rhodes_(n=15),Italian_Sicily_Central_(Sicilian)_(n=2),Italian_Sicily_Trapani_(Sicilian)_(n=7),Maltese_(n=8)
Ashkenazi_Jew_(n=1209),0.01143262,6.4,5.6,24.8,15.4,10.4,37.4
Average,0.01143262,6.4,5.6,24.8,15.4,10.4,37.4
