Panel	Individuals	SNPs	Populations	Exact_ID_Order	Clean_Labels	Prohibited_IDs_Absent	Packed_Header	GENO_SHA256	SNP_SHA256	IND_SHA256	Header_SNP_Hash	Header_IND_Hash
primary	369	276725	18	PASS	PASS	PASS	PASS	c7b442bec6637d02e08278721dba34aebaf9e387f47de3c47a0d6e5a059cb4e0	74582cfb2cde3943dcb969a3e80a2cdb711d6f2635e95c3adddaaf3a31fe1bbd	325e34ef5736ae3a134bf19a129c49519ddfd1e262233bb5001482e75f34f889	2dc5e595	e42ba255
strict_pass	247	276725	18	PASS	PASS	PASS	PASS	ee1c288a3034901952ba0ae9125441cfeabd6c73ff07b7165b592a4df89619c7	74582cfb2cde3943dcb969a3e80a2cdb711d6f2635e95c3adddaaf3a31fe1bbd	6610356d319bba37e49bb05474f1b44fc1b3752ea3c914ae96fa9cc6a24c9644	4923f112	e42ba255
