Genetic_ID	Original_Group	Clean_Group	Locality	Publication	Assessment	Italian_Split_Status	Decision	Reason
HGDP00574.HO	Druze	Druze	Israel, modern 1	PattersonReichGenetics2012	Pass	Not_applicable	INCLUDE	Pass assessment and no predefined exclusion
HGDP00575.DG	Druze	Druze	Israel, modern 1	PattersonReichGenetics2012	PROVISIONAL_PASS	Not_applicable	REVIEW	PROVISIONAL_PASS retained for explicit review before inclusion
HGDP00575.HO	Druze	Druze	Israel, modern 1	PattersonReichGenetics2012	Pass	Not_applicable	INCLUDE	Pass assessment and no predefined exclusion
HGDP00576.DG	Druze	Druze	Israel, modern 1	PattersonReichGenetics2012	PROVISIONAL_PASS	Not_applicable	REVIEW	PROVISIONAL_PASS retained for explicit review before inclusion
HGDP00577.DG	Druze	Druze	Israel, modern 1	PattersonReichGenetics2012	PROVISIONAL_PASS	Not_applicable	REVIEW	PROVISIONAL_PASS retained for explicit review before inclusion
HGDP00577.HO	Druze	Druze	Israel, modern 1	PattersonReichGenetics2012	Pass	Not_applicable	INCLUDE	Pass assessment and no predefined exclusion
HGDP00578.DG	Druze	Druze	Israel, modern 1	PattersonReichGenetics2012	PROVISIONAL_PASS	Not_applicable	REVIEW	PROVISIONAL_PASS retained for explicit review before inclusion
HGDP00578.HO	Druze	Druze	Israel, modern 1	PattersonReichGenetics2012	Pass	Not_applicable	INCLUDE	Pass assessment and no predefined exclusion
HGDP00579.DG	Druze	Druze	Israel, modern 1	PattersonReichGenetics2012	PROVISIONAL_PASS	Not_applicable	REVIEW	PROVISIONAL_PASS retained for explicit review before inclusion
HGDP00579.HO	Druze	Druze	Israel, modern 1	PattersonReichGenetics2012	Pass	Not_applicable	INCLUDE	Pass assessment and no predefined exclusion
HGDP00580.DG	Druze	Druze	Israel, modern 1	PattersonReichGenetics2012	PROVISIONAL_PASS	Not_applicable	REVIEW	PROVISIONAL_PASS retained for explicit review before inclusion
HGDP00580.HO	Druze	Druze	Israel, modern 1	PattersonReichGenetics2012	Pass	Not_applicable	INCLUDE	Pass assessment and no predefined exclusion
HGDP00581.DG	Druze	Druze	Israel, modern 1	PattersonReichGenetics2012	PROVISIONAL_PASS	Not_applicable	REVIEW	PROVISIONAL_PASS retained for explicit review before inclusion
HGDP00582.DG	Druze	Druze	Israel, modern 1	PattersonReichGenetics2012	PROVISIONAL_PASS	Not_applicable	REVIEW	PROVISIONAL_PASS retained for explicit review before inclusion
HGDP00582.HO	Druze	Druze	Israel, modern 1	PattersonReichGenetics2012	Pass	Not_applicable	INCLUDE	Pass assessment and no predefined exclusion
HGDP00583.DG	Druze	Druze	Israel, modern 1	PattersonReichGenetics2012	PROVISIONAL_PASS	Not_applicable	REVIEW	PROVISIONAL_PASS retained for explicit review before inclusion
HGDP00583.HO	Druze	Druze	Israel, modern 1	PattersonReichGenetics2012	Pass	Not_applicable	INCLUDE	Pass assessment and no predefined exclusion
HGDP00584.DG	Druze	Druze	Israel, modern 1	PattersonReichGenetics2012	PROVISIONAL_PASS	Not_applicable	REVIEW	PROVISIONAL_PASS retained for explicit review before inclusion
HGDP00584.HO	Druze	Druze	Israel, modern 1	PattersonReichGenetics2012	Pass	Not_applicable	INCLUDE	Pass assessment and no predefined exclusion
HGDP00586.DG	Druze	Druze	Israel, modern 1	PattersonReichGenetics2012	PROVISIONAL_PASS	Not_applicable	REVIEW	PROVISIONAL_PASS retained for explicit review before inclusion
HGDP00586.HO	Druze	Druze	Israel, modern 1	PattersonReichGenetics2012	Pass	Not_applicable	INCLUDE	Pass assessment and no predefined exclusion
