Target	Distance	Druze_Israel_(n=42)	Italian_Lombardy_(Lombard)_(n=10)	Palestinian_Arab_Christian_(n=24)	Russian_Smolensk_(n=15)	Samaritan_(n=7)
Ashkenazi_Jew_(n=1209)	0.01206331	28.8	38.0	21.2	10.0	2.0
Average	0.01206331	28.8	38.0	21.2	10.0	2.0
