Target	Distance	Druze_Israel_(n=42)	German_(n=113)	Italian_Lombardy_(Lombard)_(n=10)	Italian_Sicily_West_(Sicilian)_(n=8)	Italki_Jew_(n=9)	Maltese_(n=8)	Russian_Smolensk_(n=15)
Ashkenazi_Jew_(n=1209)	0.00819655	22.8	1.8	9.8	2.4	40.8	11.4	11.0
Average	0.00819655	22.8	1.8	9.8	2.4	40.8	11.4	11.0
