Panel	Ashkenazi_population	Comparator	Rank_nearest_lowest_FST	Hudson_FST_ratio_of_sums	Chromosome_jackknife_SE	CI95_low	CI95_high	SNPs_used	Negative_numerator_SNPs
strict_pass	Jew_Ashkenazi	Jew_Turkish	1	0.004393095186199773	0.00043400160853939525	0.0035424520334625584	0.005243738338936987	165765	100428
strict_pass	Jew_Ashkenazi	Sicilian	2	0.005083613921845823	0.000548805634871385	0.004007954877497908	0.006159272966193737	168832	114502
strict_pass	Jew_Ashkenazi	Italian_Central	3	0.005127579439857978	0.00040752852846596944	0.004328823524064678	0.005926335355651279	171428	103810
strict_pass	Jew_Ashkenazi	Italian_South	4	0.005640459927977246	0.000417708617853299	0.00482175103698478	0.006459168818969712	174194	110306
strict_pass	Jew_Ashkenazi	Greek	5	0.0058121029778542225	0.00042361909737698345	0.004981809546995335	0.00664239640871311	171908	101023
strict_pass	Jew_Ashkenazi	Italian_North	6	0.005941811275323208	0.0004868466291754956	0.004987591882139236	0.006896030668507179	172025	112414
strict_pass	Jew_Ashkenazi	Lebanese_Muslim	7	0.006103783828964277	0.0005389445178244036	0.005047452574028446	0.007160115083900108	170323	114358
strict_pass	Jew_Ashkenazi	Italian_Tuscan	8	0.006450053223902291	0.0007132185425619999	0.0050521448804807705	0.00784796156732381	161870	100681
strict_pass	Jew_Ashkenazi	Cypriot	9	0.006622874078342364	0.0008251828028187241	0.005005515784817664	0.008240232371867063	160535	110771
strict_pass	Jew_Ashkenazi	Maltese	10	0.006646429101864536	0.0004999964801577591	0.005666436000755328	0.007626422202973744	165942	99721
strict_pass	Jew_Ashkenazi	Lebanese_Christian	11	0.006783166123863392	0.0005883730102006838	0.005629955023870052	0.007936377223856733	166642	102922
strict_pass	Jew_Ashkenazi	Italian_Bergamo	12	0.007186564369998657	0.0005771887313951686	0.006055274456464126	0.008317854283533188	168078	110485
strict_pass	Jew_Ashkenazi	Lebanese	13	0.007455562459110745	0.0007140118013183199	0.006056099328526838	0.008855025589694651	167282	99297
strict_pass	Jew_Ashkenazi	Palestinian	14	0.010381576084034939	0.0004563986525305552	0.00948703472507505	0.011276117442994827	180853	105086
strict_pass	Jew_Ashkenazi	Jew_Iraqi	15	0.010808698395569694	0.0006826528214686569	0.009470698865491126	0.012146697925648261	162373	99267
strict_pass	Jew_Ashkenazi	Druze	16	0.011308847559640666	0.0003109914938550891	0.010699304231684692	0.01191839088759664	178812	103692
strict_pass	Jew_Ashkenazi	Jew_Yemenite	17	0.017798177012750667	0.0004121933158230126	0.016990278113737562	0.018606075911763772	166165	94485
