Panel	Population_1	Population_2	Hudson_FST_ratio_of_sums	Chromosome_jackknife_SE	CI95_low	CI95_high	SNPs_used	Negative_numerator_SNPs	Sum_numerator	Sum_denominator	Jackknife_blocks
strict_pass	Cypriot	Druze	0.007458625723068313	0.0006454045687489971	0.006193632768320278	0.008723618677816347	178169	103869	394.09019204981195	52836.83706382468	22
strict_pass	Cypriot	Greek	0.003272546439596147	0.0005785116457372646	0.0021386636139511086	0.004406429265241186	170678	97555	171.62895000497315	52445.07699825132	22
strict_pass	Cypriot	Italian_Bergamo	0.005192086441659642	0.0005891958153586227	0.0040372626435567415	0.006346910239762543	166048	105523	271.79323785956376	52347.59492422578	22
strict_pass	Cypriot	Italian_Central	0.0034979684672722926	0.0005437203550259827	0.0024322765714213665	0.004563660363123219	169851	99314	183.60273789620962	52488.391366026975	22
strict_pass	Cypriot	Italian_North	0.004787790610269007	0.0006585824960928894	0.003496968917926944	0.0060786123026110705	170825	106736	251.13616630698453	52453.456458254375	22
strict_pass	Cypriot	Italian_South	0.0033587026361197245	0.00048392227916396806	0.002410214968958347	0.004307190303281102	173194	107073	176.32769221716362	52498.750654768664	22
strict_pass	Cypriot	Italian_Tuscan	0.004583811491238993	0.0005770678277005831	0.0034527585489458504	0.005714864433532136	158080	97740	240.6151479075431	52492.37416665785	22
strict_pass	Cypriot	Jew_Ashkenazi	0.006622874078342364	0.0008251828028187241	0.005005515784817664	0.008240232371867063	160535	110771	349.39572122306413	52755.90583333486	22
strict_pass	Cypriot	Jew_Iraqi	0.0072430666899478535	0.0010712279010674387	0.0051434600038556735	0.009342673376040033	158298	97249	382.2322943721757	52772.16277777053	22
strict_pass	Cypriot	Jew_Turkish	0.0026127488013342965	0.0004580330188987467	0.001715004084292753	0.00351049351837584	163020	98519	137.78583548402406	52735.96735118916	22
strict_pass	Cypriot	Jew_Yemenite	0.012717517863873902	0.0007605757958179827	0.011226789304070657	0.014208246423677148	162876	94671	676.5849131423395	53201.01928571177	22
strict_pass	Cypriot	Lebanese	0.00401041190996661	0.0006787533683562094	0.0026800553079884396	0.005340768511944781	164198	97932	213.08785381294032	53133.65773809365	22
strict_pass	Cypriot	Lebanese_Christian	0.0030460991753935214	0.000517594787205242	0.002031613392471247	0.0040605849583157955	163770	97359	160.48951142262038	52686.89631613421	22
strict_pass	Cypriot	Lebanese_Muslim	0.0027207974347097674	0.0004690840987105646	0.0018013926012370608	0.003640202268182474	168024	112212	144.13136356248003	52973.94128786174	22
strict_pass	Cypriot	Maltese	0.0045762498470542975	0.0006257666177970693	0.003349747276172042	0.005802752417936553	162977	97819	241.60290896612184	52794.95592261862	22
strict_pass	Cypriot	Palestinian	0.006354047284654695	0.000480743236634895	0.0054117905408503	0.007296304028459089	180473	103694	339.1734393431775	53379.11793044039	22
strict_pass	Cypriot	Sicilian	0.0029992981952993675	0.0005749537653451331	0.0018723888152229065	0.004126207575375828	166610	111814	157.89177766829087	52642.90756942602	22
strict_pass	Druze	Greek	0.009026060001827796	0.00024984620407811635	0.008536361441834688	0.009515758561820903	180425	104152	476.3250302854685	52772.19852172617	22
