Population	N	Euclidean_Distance
Maltese	8	0.0339351509
Sicilian	11	0.0368037083
Cypriot	5	0.0379055460
Jew_Turkish	8	0.0384438656
Greek	18	0.0544138461
Italian_Central	16	0.0556129359
Italian_Tuscan	6	0.0662795796
Lebanese_Christian	9	0.0682627760
Italian_North	19	0.0782276777
Italian_Bergamo	12	0.0800522709
Jew_Iraqi	6	0.0843665922
Lebanese_Muslim	11	0.0896083536
Italian_South	22	0.0905609480
Lebanese	8	0.1039253329
Druze	39	0.1614700441
Palestinian	34	0.1647775720
Jew_Yemenite	8	0.3256408762
