panel	K	Ashkenazi_population	comparator	component_euclidean_distance	rank	source
strict_pass	3	Jew_Ashkenazi	Greek	0.2747830977914395	7	aligned_replicate_consensus
strict_pass	3	Jew_Ashkenazi	Italian_Tuscan	0.3292005581767158	8	aligned_replicate_consensus
strict_pass	3	Jew_Ashkenazi	Lebanese_Christian	0.35551848953168325	9	aligned_replicate_consensus
strict_pass	3	Jew_Ashkenazi	Italian_North	0.36448835936527824	10	aligned_replicate_consensus
strict_pass	3	Jew_Ashkenazi	Italian_Bergamo	0.3716794258615685	11	aligned_replicate_consensus
strict_pass	3	Jew_Ashkenazi	Lebanese_Muslim	0.38950599634027644	12	aligned_replicate_consensus
strict_pass	3	Jew_Ashkenazi	Jew_Iraqi	0.41617958076572137	13	aligned_replicate_consensus
strict_pass	3	Jew_Ashkenazi	Lebanese	0.4522900916624158	14	aligned_replicate_consensus
strict_pass	3	Jew_Ashkenazi	Palestinian	0.8713937593958696	15	aligned_replicate_consensus
strict_pass	3	Jew_Ashkenazi	Druze	0.896795246116874	16	aligned_replicate_consensus
strict_pass	3	Jew_Ashkenazi	Jew_Yemenite	0.920955972931805	17	aligned_replicate_consensus
primary	4	Jew_Ashkenazi	Maltese	0.013704585477437118	1	aligned_replicate_consensus
primary	4	Jew_Ashkenazi	Sicilian	0.04281495913721733	2	aligned_replicate_consensus
primary	4	Jew_Ashkenazi	Italian_South	0.05617814997146668	3	aligned_replicate_consensus
primary	4	Jew_Ashkenazi	Jew_Turkish	0.0635289409747479	4	aligned_replicate_consensus
primary	4	Jew_Ashkenazi	Cypriot	0.09489288717218117	5	aligned_replicate_consensus
primary	4	Jew_Ashkenazi	Greek	0.10796306481367561	6	aligned_replicate_consensus
primary	4	Jew_Ashkenazi	Italian_Central	0.1128102732455303	7	aligned_replicate_consensus
primary	4	Jew_Ashkenazi	Lebanese_Christian	0.1658818349098468	8	aligned_replicate_consensus
primary	4	Jew_Ashkenazi	Jew_Iraqi	0.18085886821412064	9	aligned_replicate_consensus
primary	4	Jew_Ashkenazi	Lebanese_Muslim	0.18997201253047907	10	aligned_replicate_consensus
primary	4	Jew_Ashkenazi	Italian_North	0.19007333315415897	11	aligned_replicate_consensus
primary	4	Jew_Ashkenazi	Lebanese	0.21840083237447797	12	aligned_replicate_consensus
primary	4	Jew_Ashkenazi	Italian_Bergamo	0.3309145658798187	13	aligned_replicate_consensus
primary	4	Jew_Ashkenazi	Italian_Tuscan	0.4232393102119942	14	aligned_replicate_consensus
