panel	K	replicate	seed	cv_error	log_likelihood	elapsed_seconds	executable	threads	q_path	p_path	log_path
strict_pass	8	5	22345852	0.530420000000	-14595494.140851	53.453	/home/computer/popgen/projects/ashkenazi_reference_test/tools/admixture_linux-1.4.0/admixture	8	results/admixture/runs/strict_pass/K08/rep05/dataset.8.Q	results/admixture/runs/strict_pass/K08/rep05/dataset.8.P	results/admixture/runs/strict_pass/K08/rep05/admixture.log
strict_pass	9	1	22351823	0.538220000000	-14555907.696427	105.127	/home/computer/popgen/projects/ashkenazi_reference_test/tools/admixture_linux-1.4.0/admixture	8	results/admixture/runs/strict_pass/K09/rep01/dataset.9.Q	results/admixture/runs/strict_pass/K09/rep01/dataset.9.P	results/admixture/runs/strict_pass/K09/rep01/admixture.log
strict_pass	9	2	22352832	0.536230000000	-14558547.653197	70.110	/home/computer/popgen/projects/ashkenazi_reference_test/tools/admixture_linux-1.4.0/admixture	8	results/admixture/runs/strict_pass/K09/rep02/dataset.9.Q	results/admixture/runs/strict_pass/K09/rep02/dataset.9.P	results/admixture/runs/strict_pass/K09/rep02/admixture.log
strict_pass	9	3	22353841	0.537400000000	-14557915.340308	61.979	/home/computer/popgen/projects/ashkenazi_reference_test/tools/admixture_linux-1.4.0/admixture	8	results/admixture/runs/strict_pass/K09/rep03/dataset.9.Q	results/admixture/runs/strict_pass/K09/rep03/dataset.9.P	results/admixture/runs/strict_pass/K09/rep03/admixture.log
strict_pass	9	4	22354850	0.533950000000	-14562069.794618	81.225	/home/computer/popgen/projects/ashkenazi_reference_test/tools/admixture_linux-1.4.0/admixture	8	results/admixture/runs/strict_pass/K09/rep04/dataset.9.Q	results/admixture/runs/strict_pass/K09/rep04/dataset.9.P	results/admixture/runs/strict_pass/K09/rep04/admixture.log
strict_pass	9	5	22355859	0.538060000000	-14560492.254314	77.057	/home/computer/popgen/projects/ashkenazi_reference_test/tools/admixture_linux-1.4.0/admixture	8	results/admixture/runs/strict_pass/K09/rep05/dataset.9.Q	results/admixture/runs/strict_pass/K09/rep05/dataset.9.P	results/admixture/runs/strict_pass/K09/rep05/admixture.log
strict_pass	10	1	22361830	0.539850000000	-14519779.360803	109.802	/home/computer/popgen/projects/ashkenazi_reference_test/tools/admixture_linux-1.4.0/admixture	8	results/admixture/runs/strict_pass/K10/rep01/dataset.10.Q	results/admixture/runs/strict_pass/K10/rep01/dataset.10.P	results/admixture/runs/strict_pass/K10/rep01/admixture.log
strict_pass	10	2	22362839	0.546090000000	-14511518.961025	89.928	/home/computer/popgen/projects/ashkenazi_reference_test/tools/admixture_linux-1.4.0/admixture	8	results/admixture/runs/strict_pass/K10/rep02/dataset.10.Q	results/admixture/runs/strict_pass/K10/rep02/dataset.10.P	results/admixture/runs/strict_pass/K10/rep02/admixture.log
strict_pass	10	3	22363848	0.542180000000	-14518530.045558	86.960	/home/computer/popgen/projects/ashkenazi_reference_test/tools/admixture_linux-1.4.0/admixture	8	results/admixture/runs/strict_pass/K10/rep03/dataset.10.Q	results/admixture/runs/strict_pass/K10/rep03/dataset.10.P	results/admixture/runs/strict_pass/K10/rep03/admixture.log
strict_pass	10	4	22364857	0.544830000000	-14513959.607269	58.424	/home/computer/popgen/projects/ashkenazi_reference_test/tools/admixture_linux-1.4.0/admixture	8	results/admixture/runs/strict_pass/K10/rep04/dataset.10.Q	results/admixture/runs/strict_pass/K10/rep04/dataset.10.P	results/admixture/runs/strict_pass/K10/rep04/admixture.log
strict_pass	10	5	22365866	0.543620000000	-14513916.113876	74.106	/home/computer/popgen/projects/ashkenazi_reference_test/tools/admixture_linux-1.4.0/admixture	8	results/admixture/runs/strict_pass/K10/rep05/dataset.10.Q	results/admixture/runs/strict_pass/K10/rep05/dataset.10.P	results/admixture/runs/strict_pass/K10/rep05/admixture.log
strict_pass	11	1	22371837	0.553020000000	-14474416.463843	111.772	/home/computer/popgen/projects/ashkenazi_reference_test/tools/admixture_linux-1.4.0/admixture	8	results/admixture/runs/strict_pass/K11/rep01/dataset.11.Q	results/admixture/runs/strict_pass/K11/rep01/dataset.11.P	results/admixture/runs/strict_pass/K11/rep01/admixture.log
strict_pass	11	2	22372846	0.553410000000	-14485373.775863	93.350	/home/computer/popgen/projects/ashkenazi_reference_test/tools/admixture_linux-1.4.0/admixture	8	results/admixture/runs/strict_pass/K11/rep02/dataset.11.Q	results/admixture/runs/strict_pass/K11/rep02/dataset.11.P	results/admixture/runs/strict_pass/K11/rep02/admixture.log
strict_pass	11	3	22373855	0.551720000000	-14477426.793495	113.294	/home/computer/popgen/projects/ashkenazi_reference_test/tools/admixture_linux-1.4.0/admixture	8	results/admixture/runs/strict_pass/K11/rep03/dataset.11.Q	results/admixture/runs/strict_pass/K11/rep03/dataset.11.P	results/admixture/runs/strict_pass/K11/rep03/admixture.log
strict_pass	11	4	22374864	0.549980000000	-14477263.883379	98.001	/home/computer/popgen/projects/ashkenazi_reference_test/tools/admixture_linux-1.4.0/admixture	8	results/admixture/runs/strict_pass/K11/rep04/dataset.11.Q	results/admixture/runs/strict_pass/K11/rep04/dataset.11.P	results/admixture/runs/strict_pass/K11/rep04/admixture.log
strict_pass	11	5	22375873	0.552890000000	-14471896.257731	105.645	/home/computer/popgen/projects/ashkenazi_reference_test/tools/admixture_linux-1.4.0/admixture	8	results/admixture/runs/strict_pass/K11/rep05/dataset.11.Q	results/admixture/runs/strict_pass/K11/rep05/dataset.11.P	results/admixture/runs/strict_pass/K11/rep05/admixture.log
strict_pass	12	1	22381844	0.559880000000	-14436199.145699	89.307	/home/computer/popgen/projects/ashkenazi_reference_test/tools/admixture_linux-1.4.0/admixture	8	results/admixture/runs/strict_pass/K12/rep01/dataset.12.Q	results/admixture/runs/strict_pass/K12/rep01/dataset.12.P	results/admixture/runs/strict_pass/K12/rep01/admixture.log
strict_pass	12	2	22382853	0.567990000000	-14436912.274337	87.340	/home/computer/popgen/projects/ashkenazi_reference_test/tools/admixture_linux-1.4.0/admixture	8	results/admixture/runs/strict_pass/K12/rep02/dataset.12.Q	results/admixture/runs/strict_pass/K12/rep02/dataset.12.P	results/admixture/runs/strict_pass/K12/rep02/admixture.log
strict_pass	12	3	22383862	0.557520000000	-14435418.104112	147.294	/home/computer/popgen/projects/ashkenazi_reference_test/tools/admixture_linux-1.4.0/admixture	8	results/admixture/runs/strict_pass/K12/rep03/dataset.12.Q	results/admixture/runs/strict_pass/K12/rep03/dataset.12.P	results/admixture/runs/strict_pass/K12/rep03/admixture.log
strict_pass	12	4	22384871	0.559260000000	-14445705.468675	152.987	/home/computer/popgen/projects/ashkenazi_reference_test/tools/admixture_linux-1.4.0/admixture	8	results/admixture/runs/strict_pass/K12/rep04/dataset.12.Q	results/admixture/runs/strict_pass/K12/rep04/dataset.12.P	results/admixture/runs/strict_pass/K12/rep04/admixture.log
strict_pass	12	5	22385880	0.560560000000	-14435956.233946	134.438	/home/computer/popgen/projects/ashkenazi_reference_test/tools/admixture_linux-1.4.0/admixture	8	results/admixture/runs/strict_pass/K12/rep05/dataset.12.Q	results/admixture/runs/strict_pass/K12/rep05/dataset.12.P	results/admixture/runs/strict_pass/K12/rep05/admixture.log
