Target	Distance	Italian_Calabria_Reggio_Calabria_(Calabrese)_(n=9)	Italian_Lombardy_(Lombard)_(n=10)	Italian_Sicily_West_(Sicilian)_(n=8)	Maltese_(n=8)	Palestinian_Arab_Christian_(n=24)	Samaritan_(n=7)
Italki_Jew_(n=9)	0.00984550	28.8	4.2	2.0	39.8	1.8	23.4
Average	0.00984550	28.8	4.2	2.0	39.8	1.8	23.4
