Target	Distance	Druze_Israel_(n=42)	Italian_Lombardy_(Lombard)_(n=10)	Italian_Sicily_West_(Sicilian)_(n=8)	Maltese_(n=8)	Palestinian_Arab_Christian_(n=24)	Russian_Smolensk_(n=15)	Samaritan_(n=7)
Ashkenazi_Jew_(n=1209)	0.00922012	23.0	14.4	9.6	34.0	8.0	9.4	1.6
Average	0.00922012	23.0	14.4	9.6	34.0	8.0	9.4	1.6
